game,team,difficulty,formation,lineup,lineup_numbers
Besiktas vs. Rizespor - Friday August 13 - 2021,Besiktas,easy,4-1-4-1,DESTANOGLU;N'SAKALA;WELINTON;VIDA;ROSIER;SOUZA;N'KOUDOU;UCAN;HUTCHINSON;GHEZZAL;KARAMAN,30;21;23;24;2;5;7;8;13;18;28
Besiktas vs. Rizespor - Friday August 13 - 2021,Rizespor,hard,4-2-3-1,AKKAN;SERTEL;HOLMEN;AY;FABRICIO BAIANO;DABO;DJOKOVIC;POTUK;SABO;RONALDO MENDES;REMY,23;88;3;5;27;14;8;4;52;11;7
Altay Sk vs. Kayserispor - Saturday August 14 - 2021,Altay Sk,hard,5-4-1,LIS;NADERI;THIAM;OZTURK;AKCA;KARAYEL;RODRIGUEZ;POKO;PINARES;KAPPEL;BAMBA,1;2;29;38;28;90;10;17;21;7;11
Altay Sk vs. Kayserispor - Saturday August 14 - 2021,Kayserispor,hard,4-3-2-1,ALEMDAR;CAROLE;KOLOVETSIOS;HOSSEINI;BULUT;AVRAMOVSKI;AKDAG;KVRZIC;CARDOSO;BASSAN;PEKTEMEK,16;21;4;5;27;96;24;18;7;17;9
Fatih Karagumruk vs. Gaziantep FK - Saturday August 14 - 2021,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;ZUKANOVIC;BENATIA;HEDENSTAD;BIGLIA;FREI;OZTUMER;TATLI;MUSA;PESIC,2;29;87;5;26;6;11;8;14;7;72
Fatih Karagumruk vs. Gaziantep FK - Saturday August 14 - 2021,Gaziantep FK,hard,3-1-4-2,GUVENC;DJILOBODJI;ZENGIN;ERSOY;JEFFERSON;MENDYL;NIYAZ;SOYALP;OLKOWSKI;DICKO;SAGAL,1;3;4;15;8;27;20;5;16;94;28
Hatayspor vs. Kasimpasa - Saturday August 14 - 2021,Hatayspor,hard,4-2-3-1,EL KAJOUI;ADEKUGBE;OKSUZ;ERGUN;COREKCI;BOUDJEMAA;RIBEIRO;KAMARA;COLAK;SAINT-LOUIS;DIOUF,1;23;53;4;12;8;7;20;10;95;92
Hatayspor vs. Kasimpasa - Saturday August 14 - 2021,Kasimpasa,hard,4-1-4-1,TEKIN;BEN OUANES;SERBEST;BRUMA;HADERGJONAJ;SADIKU;VARGA;EYSSERIC;HAJRADINOVIC;ERDOGAN;BOZOK,23;12;15;5;94;6;21;13;10;11;19
Adana Demirspor vs. Fenerbahce - Sunday August 15 - 2021,Adana Demirspor,hard,4-2-3-1,MURIC;KANAK;RASSOUL;SANUC;SVENSSON;INLER;KURT;CASTRO;BELHANDA;AKINTOLA;BALOTELLI,49;6;95;2;22;88;8;19;10;11;9
Adana Demirspor vs. Fenerbahce - Sunday August 15 - 2021,Fenerbahce,easy,3-4-3,BAYINDIR;TISSERAND;SZALAI;NOVAK;KADIOGLU;ZAJC;LUIZ GUSTAVO;OSAYI-SAMUEL;KAHVECI;SAMATTA;OZIL,1;32;41;37;16;26;20;21;17;15;10
Antalyaspor vs. Goztepe - Sunday August 15 - 2021,Antalyaspor,hard,4-1-4-1,BOFFIN;VURAL;NALDO;SARI;BALCI;SAHIN;MUKAIRU;FREDY;POLI;GHACHA;WRIGHT,25;11;4;89;77;8;12;16;15;27;9
Antalyaspor vs. Goztepe - Sunday August 15 - 2021,Goztepe,hard,4-1-4-1,EGRIBAYAT;EMIR;NUKAN;ARSLANAGIC;PALULI;NWOBODO;NDIAYE;TIJANIC;AYDOGDU;AKBUNAR;JAHOVIC,1;41;33;15;77;5;9;43;8;7;18
Basaksehir vs. Alanyaspor - Sunday August 15 - 2021,Alanyaspor,hard,3-4-2-1,KIRINTILI;MEVLJA;AKSOY;MILUNOVIC;BORJA;SIOPIS;GUNES;CANDEIAS;DAVIDSON;KARACA;DIEDHIOU,1;25;20;19;31;26;6;21;91;7;14
Basaksehir vs. Alanyaspor - Sunday August 15 - 2021,Basaksehir,hard,4-2-3-1,BABACAN;LIMA;TAGIR;DUARTE;SAHINER;CIGERCI;NDAYISHIMIYE;ALEKSIC;OZCAN;VISCA;GULBRANDSEN,1;60;4;5;42;28;55;8;10;7;22
