game,team,difficulty,formation,lineup,lineup_numbers
Basaksehir vs. Bursaspor - Friday August 11 - 2017,Basaksehir,hard,4-2-3-1,BABACAN;CLICHY;EPUREANU;ATTAMAH;JUNIOR CAICARA;TEKDEMIR;INLER;ELIA;MARCIO MOSSORO;VISCA;ADEBAYOR,1;3;6;4;80;21;88;11;8;7;10
Basaksehir vs. Bursaspor - Friday August 11 - 2017,Bursaspor,hard,4-2-3-1,TEKIN;BEHICH;TITI;TROOST-EKONG;YARDIMCI;AGU;BADU;YILMAZ;BATALLA;JOHN;STANCU,1;23;6;93;26;46;77;11;10;24;28
Akhisarspor vs. Sivasspor - Saturday August 12 - 2017,Akhisarspor,hard,4-2-3-1,LUKAC;BAYRAM;OSMANPASA;YUMLU;LOPES;SISSOKO;AYDOGDU;BARBOSA;AYIK;ADIN;HENRIQUE,1;19;88;22;13;20;10;7;11;29;12
Akhisarspor vs. Sivasspor - Saturday August 12 - 2017,Sivasspor,hard,4-2-3-1,ROCHET;ELDERSON;BJARSMYR;DYAKOV;SIMSEK;AUREMIR;ARSLAN;KILINC;GUZEL;LEANDRINHO;KONE,93;3;6;4;25;18;37;54;5;7;2
Alanyaspor vs. Kasimpasa - Saturday August 12 - 2017,Alanyaspor,hard,4-2-3-1,RIOU;N'SAKALA;TZAVELLAS;FOFANA;GASSAMA;SACKEY;MANIATIS;AKBABA;KARACA;ETAME;VAGNER LOVE,69;21;31;15;89;2;8;10;7;9;99
Alanyaspor vs. Kasimpasa - Saturday August 12 - 2017,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;BEN YOUSSEF;SARI;POPOV;SADIKU;PAVELKA;BUYUK;NEUMAYR;TREZEGUET;MURILLO,1;31;13;88;90;6;8;10;77;7;15
Genclerbirligi vs. Kardemir Karabukspor - Saturday August 12 - 2017,Genclerbirligi,hard,4-2-3-1,HOPF;CIFTCI;LUCCAS CLARO;POLITEVICH;OGUZ;ISSAH;YAVRU;OZEK;KHALILI;RANTIE;SKULETIC,1;3;12;6;2;20;61;7;55;31;32
Genclerbirligi vs. Kardemir Karabukspor - Saturday August 12 - 2017,Kardemir Karabukspor,hard,4-2-3-1,RYBKA;PAPP;BASDAS;NOUNKEU;ZENGIN;GULSELAM;POKO;DEPE;TANASE;TORJE;YATABARE,25;4;22;13;11;6;17;26;10;8;9
Goztepe vs. Fenerbahce - Saturday August 12 - 2017,Fenerbahce,easy,4-2-3-1,DEMIREL;KOYBASI;NEUSTADTER;SKRTEL;ISLA;TOPAL;SOUZA;VALBUENA;POTUK;DIRAR;VAN PERSIE,1;6;33;37;4;5;89;28;7;17;10
Goztepe vs. Fenerbahce - Saturday August 12 - 2017,Goztepe,hard,4-2-3-1,BETO;SCHWECHLEN;KADU;PEYBERNES;SARIOGLU;CASTRO;ROTMAN;GOUFFRAN;SCARIONE;JAHOVIC;GHILAS,13;5;44;17;55;8;6;94;10;18;9
